symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,es_outlier_iqr
2,121.0,Chevrolet,Gas,Std,Two,Hatchback,Fwd,Front,88.4,141.1,60.3,53.2,1488,L,Three,61,2Bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,True
1,98.0,Chevrolet,Gas,Std,Two,Hatchback,Fwd,Front,94.5,155.9,63.6,52.0,1874,Ohc,Four,90,2Bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,False
0,81.0,Chevrolet,Gas,Std,Four,Sedan,Fwd,Front,94.5,158.8,63.6,52.0,1909,Ohc,Four,90,2Bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,False
1,118.0,Dodge,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,1876,Ohc,Four,90,2Bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,False
1,118.0,Dodge,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,1876,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,False
1,118.0,Dodge,Gas,Turbo,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,2128,Ohc,Four,98,Mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,False
1,148.0,Dodge,Gas,Std,Four,Hatchback,Fwd,Front,93.7,157.3,63.8,50.6,1967,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,False
1,148.0,Dodge,Gas,Std,Four,Sedan,Fwd,Front,93.7,157.3,63.8,50.6,1989,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,False
1,148.0,Dodge,Gas,Std,Four,Sedan,Fwd,Front,93.7,157.3,63.8,50.6,1989,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,False
1,148.0,Dodge,Gas,Turbo,Four,Sedan,Fwd,Front,93.7,157.3,63.8,50.6,2191,Ohc,Four,98,Mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,False
-1,110.0,Dodge,Gas,Std,Four,Wagon,Fwd,Front,103.3,174.6,64.6,59.8,2535,Ohc,Four,122,2Bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,False
3,145.0,Dodge,Gas,Turbo,Two,Hatchback,Fwd,Front,95.9,173.2,66.3,50.2,2811,Ohc,Four,156,Mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,True
2,137.0,Honda,Gas,Std,Two,Hatchback,Fwd,Front,86.6,144.6,63.9,50.8,1713,Ohc,Four,92,1Bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,True
2,137.0,Honda,Gas,Std,Two,Hatchback,Fwd,Front,86.6,144.6,63.9,50.8,1819,Ohc,Four,92,1Bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,False
1,101.0,Honda,Gas,Std,Two,Hatchback,Fwd,Front,93.7,150.0,64.0,52.6,1837,Ohc,Four,79,1Bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,False
1,101.0,Honda,Gas,Std,Two,Hatchback,Fwd,Front,93.7,150.0,64.0,52.6,1940,Ohc,Four,92,1Bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,False
1,101.0,Honda,Gas,Std,Two,Hatchback,Fwd,Front,93.7,150.0,64.0,52.6,1956,Ohc,Four,92,1Bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,False
0,110.0,Honda,Gas,Std,Four,Sedan,Fwd,Front,96.5,163.4,64.0,54.5,2010,Ohc,Four,92,1Bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,False
0,78.0,Honda,Gas,Std,Four,Wagon,Fwd,Front,96.5,157.1,63.9,58.3,2024,Ohc,Four,92,1Bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,False
0,106.0,Honda,Gas,Std,Two,Hatchback,Fwd,Front,96.5,167.5,65.2,53.3,2236,Ohc,Four,110,1Bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,False
0,106.0,Honda,Gas,Std,Two,Hatchback,Fwd,Front,96.5,167.5,65.2,53.3,2289,Ohc,Four,110,1Bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,False
0,85.0,Honda,Gas,Std,Four,Sedan,Fwd,Front,96.5,175.4,65.2,54.1,2304,Ohc,Four,110,1Bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,False
0,85.0,Honda,Gas,Std,Four,Sedan,Fwd,Front,96.5,175.4,62.5,54.1,2372,Ohc,Four,110,1Bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,False
0,85.0,Honda,Gas,Std,Four,Sedan,Fwd,Front,96.5,175.4,65.2,54.1,2465,Ohc,Four,110,Mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,False
1,107.0,Honda,Gas,Std,Two,Sedan,Fwd,Front,96.5,169.1,66.0,51.0,2293,Ohc,Four,110,2Bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,False
0,122.0,Isuzu,Gas,Std,Four,Sedan,Rwd,Front,94.3,170.7,61.8,53.5,2337,Ohc,Four,111,2Bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,False
1,122.0,Isuzu,Gas,Std,Two,Sedan,Fwd,Front,94.5,155.9,63.6,52.0,1874,Ohc,Four,90,2Bbl,3.03,3.11,9.6,70.0,5400.0,38,43,0.0,False
0,122.0,Isuzu,Gas,Std,Four,Sedan,Fwd,Front,94.5,155.9,63.6,52.0,1909,Ohc,Four,90,2Bbl,3.03,3.11,9.6,70.0,5400.0,38,43,0.0,False
2,122.0,Isuzu,Gas,Std,Two,Hatchback,Rwd,Front,96.0,172.6,65.2,51.4,2734,Ohc,Four,119,Spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,False
0,145.0,Jaguar,Gas,Std,Four,Sedan,Rwd,Front,113.0,199.6,69.6,52.8,4066,Dohc,Six,258,Mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,True
0,122.0,Jaguar,Gas,Std,Four,Sedan,Rwd,Front,113.0,199.6,69.6,52.8,4066,Dohc,Six,258,Mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,True
0,122.0,Jaguar,Gas,Std,Two,Sedan,Rwd,Front,102.0,191.7,70.6,47.8,3950,Ohcv,Twelve,326,Mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,True
1,104.0,Mazda,Gas,Std,Two,Hatchback,Fwd,Front,93.1,159.1,64.2,54.1,1890,Ohc,Four,91,2Bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,False
1,104.0,Mazda,Gas,Std,Two,Hatchback,Fwd,Front,93.1,159.1,64.2,54.1,1900,Ohc,Four,91,2Bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,False
1,104.0,Mazda,Gas,Std,Two,Hatchback,Fwd,Front,93.1,159.1,64.2,54.1,1905,Ohc,Four,91,2Bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,False
1,113.0,Mazda,Gas,Std,Four,Sedan,Fwd,Front,93.1,166.8,64.2,54.1,1945,Ohc,Four,91,2Bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,False
1,113.0,Mazda,Gas,Std,Four,Sedan,Fwd,Front,93.1,166.8,64.2,54.1,1950,Ohc,Four,91,2Bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,False
3,150.0,Mazda,Gas,Std,Two,Hatchback,Rwd,Front,95.3,169.0,65.7,49.6,2380,Rotor,Two,70,4Bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,10945.0,False
3,150.0,Mazda,Gas,Std,Two,Hatchback,Rwd,Front,95.3,169.0,65.7,49.6,2380,Rotor,Two,70,4Bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,11845.0,False
3,150.0,Mazda,Gas,Std,Two,Hatchback,Rwd,Front,95.3,169.0,65.7,49.6,2385,Rotor,Two,70,4Bbl,3.3297512437810943,3.255422885572139,9.4,101.0,6000.0,17,23,13645.0,False
3,150.0,Mazda,Gas,Std,Two,Hatchback,Rwd,Front,95.3,169.0,65.7,49.6,2500,Rotor,Two,80,Mpfi,3.3297512437810943,3.255422885572139,9.4,135.0,6000.0,16,23,15645.0,False
1,129.0,Mazda,Gas,Std,Two,Hatchback,Fwd,Front,98.8,177.8,66.5,53.7,2385,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,False
0,115.0,Mazda,Gas,Std,Four,Sedan,Fwd,Front,98.8,177.8,66.5,55.5,2410,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,False
1,129.0,Mazda,Gas,Std,Two,Hatchback,Fwd,Front,98.8,177.8,66.5,53.7,2385,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,False
0,115.0,Mazda,Gas,Std,Four,Sedan,Fwd,Front,98.8,177.8,66.5,55.5,2410,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,False
0,122.0,Mazda,Diesel,Std,Four,Sedan,Fwd,Front,98.8,177.8,66.5,55.5,2443,Ohc,Four,122,Idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,True
0,115.0,Mazda,Gas,Std,Four,Hatchback,Fwd,Front,98.8,177.8,66.5,55.5,2425,Ohc,Four,122,2Bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,False
0,118.0,Mazda,Gas,Std,Four,Sedan,Rwd,Front,104.9,175.0,66.1,54.4,2670,Ohc,Four,140,Mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,False
0,122.0,Mazda,Diesel,Std,Four,Sedan,Rwd,Front,104.9,175.0,66.1,54.4,2700,Ohc,Four,134,Idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,True
-1,93.0,Mercedes-Benz,Diesel,Turbo,Four,Sedan,Rwd,Front,110.0,190.9,70.3,56.5,3515,Ohc,Five,183,Idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,True
-1,93.0,Mercedes-Benz,Diesel,Turbo,Four,Wagon,Rwd,Front,110.0,190.9,70.3,58.7,3750,Ohc,Five,183,Idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,True
0,93.0,Mercedes-Benz,Diesel,Turbo,Two,Hardtop,Rwd,Front,106.7,187.5,70.3,54.9,3495,Ohc,Five,183,Idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,True
-1,93.0,Mercedes-Benz,Diesel,Turbo,Four,Sedan,Rwd,Front,115.6,202.6,71.7,56.3,3770,Ohc,Five,183,Idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,True
-1,122.0,Mercedes-Benz,Gas,Std,Four,Sedan,Rwd,Front,115.6,202.6,71.7,56.5,3740,Ohcv,Eight,234,Mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,True
3,142.0,Mercedes-Benz,Gas,Std,Two,Convertible,Rwd,Front,96.6,180.3,70.5,50.8,3685,Ohcv,Eight,234,Mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,True
0,122.0,Mercedes-Benz,Gas,Std,Four,Sedan,Rwd,Front,120.9,208.1,71.7,56.7,3900,Ohcv,Eight,308,Mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,True
1,122.0,Mercedes-Benz,Gas,Std,Two,Hardtop,Rwd,Front,112.0,199.2,72.0,55.4,3715,Ohcv,Eight,304,Mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,True
1,122.0,Mercury,Gas,Turbo,Two,Hatchback,Rwd,Front,102.7,178.4,68.0,54.8,2910,Ohc,Four,140,Mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,False
2,161.0,Mitsubishi,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,64.4,50.8,1918,Ohc,Four,92,2Bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,False
2,161.0,Mitsubishi,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,64.4,50.8,1944,Ohc,Four,92,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,False
2,161.0,Mitsubishi,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,64.4,50.8,2004,Ohc,Four,92,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,False
1,161.0,Mitsubishi,Gas,Turbo,Two,Hatchback,Fwd,Front,93.0,157.3,63.8,50.8,2145,Ohc,Four,98,Spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,False
3,153.0,Mitsubishi,Gas,Turbo,Two,Hatchback,Fwd,Front,96.3,173.0,65.4,49.4,2370,Ohc,Four,110,Spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,False
3,153.0,Mitsubishi,Gas,Std,Two,Hatchback,Fwd,Front,96.3,173.0,65.4,49.4,2328,Ohc,Four,122,2Bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,False
3,122.0,Mitsubishi,Gas,Turbo,Two,Hatchback,Fwd,Front,95.9,173.2,66.3,50.2,2833,Ohc,Four,156,Spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,True
3,122.0,Mitsubishi,Gas,Turbo,Two,Hatchback,Fwd,Front,95.9,173.2,66.3,50.2,2921,Ohc,Four,156,Spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,True
3,122.0,Mitsubishi,Gas,Turbo,Two,Hatchback,Fwd,Front,95.9,173.2,66.3,50.2,2926,Ohc,Four,156,Spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,True
1,125.0,Mitsubishi,Gas,Std,Four,Sedan,Fwd,Front,96.3,172.4,65.4,51.6,2365,Ohc,Four,122,2Bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,False
1,125.0,Mitsubishi,Gas,Std,Four,Sedan,Fwd,Front,96.3,172.4,65.4,51.6,2405,Ohc,Four,122,2Bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,False
1,125.0,Mitsubishi,Gas,Turbo,Four,Sedan,Fwd,Front,96.3,172.4,65.4,51.6,2403,Ohc,Four,110,Spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,False
-1,137.0,Mitsubishi,Gas,Std,Four,Sedan,Fwd,Front,96.3,172.4,65.4,51.6,2403,Ohc,Four,110,Spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,False
1,128.0,Nissan,Gas,Std,Two,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1889,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,False
1,128.0,Nissan,Diesel,Std,Two,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,2017,Ohc,Four,103,Idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,True
1,128.0,Nissan,Gas,Std,Two,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1918,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,False
1,122.0,Nissan,Gas,Std,Four,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1938,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,False
1,103.0,Nissan,Gas,Std,Four,Wagon,Fwd,Front,94.5,170.2,63.8,53.5,2024,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,False
1,128.0,Nissan,Gas,Std,Two,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1951,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,False
1,128.0,Nissan,Gas,Std,Two,Hatchback,Fwd,Front,94.5,165.6,63.8,53.3,2028,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,False
1,122.0,Nissan,Gas,Std,Four,Sedan,Fwd,Front,94.5,165.3,63.8,54.5,1971,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,False
1,103.0,Nissan,Gas,Std,Four,Wagon,Fwd,Front,94.5,170.2,63.8,53.5,2037,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,False
2,168.0,Nissan,Gas,Std,Two,Hardtop,Fwd,Front,95.1,162.4,63.8,53.3,2008,Ohc,Four,97,2Bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,False
0,106.0,Nissan,Gas,Std,Four,Hatchback,Fwd,Front,97.2,173.4,65.2,54.7,2324,Ohc,Four,120,2Bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,False
0,106.0,Nissan,Gas,Std,Four,Sedan,Fwd,Front,97.2,173.4,65.2,54.7,2302,Ohc,Four,120,2Bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,False
0,128.0,Nissan,Gas,Std,Four,Sedan,Fwd,Front,100.4,181.7,66.5,55.1,3095,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0,False
0,108.0,Nissan,Gas,Std,Four,Wagon,Fwd,Front,100.4,184.6,66.5,56.1,3296,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,14399.0,False
0,108.0,Nissan,Gas,Std,Four,Sedan,Fwd,Front,100.4,184.6,66.5,55.1,3060,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,152.0,5200.0,19,25,13499.0,False
3,194.0,Nissan,Gas,Std,Two,Hatchback,Rwd,Front,91.3,170.7,67.9,49.7,3071,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,17199.0,True
3,194.0,Nissan,Gas,Turbo,Two,Hatchback,Rwd,Front,91.3,170.7,67.9,49.7,3139,Ohcv,Six,181,Mpfi,3.43,3.27,7.8,200.0,5200.0,17,23,19699.0,True
1,231.0,Nissan,Gas,Std,Two,Hatchback,Rwd,Front,99.2,178.5,67.9,49.7,3139,Ohcv,Six,181,Mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,18399.0,True
0,161.0,Peugot,Gas,Std,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3020,L,Four,120,Mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,11900.0,False
0,161.0,Peugot,Diesel,Turbo,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3197,L,Four,152,Idi,3.7,3.52,21.0,95.0,4150.0,28,33,13200.0,True
0,122.0,Peugot,Gas,Std,Four,Wagon,Rwd,Front,114.2,198.9,68.4,58.7,3230,L,Four,120,Mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,12440.0,False
0,122.0,Peugot,Diesel,Turbo,Four,Wagon,Rwd,Front,114.2,198.9,68.4,58.7,3430,L,Four,152,Idi,3.7,3.52,21.0,95.0,4150.0,25,25,13860.0,True
0,161.0,Peugot,Gas,Std,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3075,L,Four,120,Mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,15580.0,True
0,161.0,Peugot,Diesel,Turbo,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3252,L,Four,152,Idi,3.7,3.52,21.0,95.0,4150.0,28,33,16900.0,True
0,122.0,Peugot,Gas,Std,Four,Wagon,Rwd,Front,114.2,198.9,68.4,56.7,3285,L,Four,120,Mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,16695.0,True
0,122.0,Peugot,Diesel,Turbo,Four,Wagon,Rwd,Front,114.2,198.9,68.4,58.7,3485,L,Four,152,Idi,3.7,3.52,21.0,95.0,4150.0,25,25,17075.0,True
0,161.0,Peugot,Gas,Std,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3075,L,Four,120,Mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,16630.0,False
0,161.0,Peugot,Diesel,Turbo,Four,Sedan,Rwd,Front,107.9,186.7,68.4,56.7,3252,L,Four,152,Idi,3.7,3.52,21.0,95.0,4150.0,28,33,17950.0,True
0,161.0,Peugot,Gas,Turbo,Four,Sedan,Rwd,Front,108.0,186.7,68.3,56.0,3130,L,Four,134,Mpfi,3.61,3.21,7.0,142.0,5600.0,18,24,18150.0,True
1,119.0,Plymouth,Gas,Std,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,1918,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5572.0,False
1,119.0,Plymouth,Gas,Turbo,Two,Hatchback,Fwd,Front,93.7,157.3,63.8,50.8,2128,Ohc,Four,98,Spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,False
1,154.0,Plymouth,Gas,Std,Four,Hatchback,Fwd,Front,93.7,157.3,63.8,50.6,1967,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,False
1,154.0,Plymouth,Gas,Std,Four,Sedan,Fwd,Front,93.7,167.3,63.8,50.8,1989,Ohc,Four,90,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,False
1,154.0,Plymouth,Gas,Std,Four,Sedan,Fwd,Front,93.7,167.3,63.8,50.8,2191,Ohc,Four,98,2Bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,False
-1,74.0,Plymouth,Gas,Std,Four,Wagon,Fwd,Front,103.3,174.6,64.6,59.8,2535,Ohc,Four,122,2Bbl,3.35,3.46,8.5,88.0,5000.0,24,30,8921.0,False
3,122.0,Plymouth,Gas,Turbo,Two,Hatchback,Rwd,Front,95.9,173.2,66.3,50.2,2818,Ohc,Four,156,Spdi,3.59,3.86,7.0,145.0,5000.0,19,24,12764.0,True
3,186.0,Porsche,Gas,Std,Two,Hatchback,Rwd,Front,94.5,168.9,68.3,50.2,2778,Ohc,Four,151,Mpfi,3.94,3.11,9.5,143.0,5500.0,19,27,22018.0,False
3,122.0,Porsche,Gas,Std,Two,Hardtop,Rwd,Rear,89.5,168.9,65.0,51.6,2756,Ohcf,Six,194,Mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,32528.0,True
3,122.0,Porsche,Gas,Std,Two,Hardtop,Rwd,Rear,89.5,168.9,65.0,51.6,2756,Ohcf,Six,194,Mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,34028.0,True
3,122.0,Porsche,Gas,Std,Two,Convertible,Rwd,Rear,89.5,168.9,65.0,51.6,2800,Ohcf,Six,194,Mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,37028.0,True
1,122.0,Porsche,Gas,Std,Two,Hatchback,Rwd,Front,98.4,175.7,72.3,50.5,3366,Dohcv,Eight,203,Mpfi,3.94,3.11,10.0,288.0,5750.0,17,28,0.0,True
0,122.0,Renault,Gas,Std,Four,Wagon,Fwd,Front,96.1,181.5,66.5,55.2,2579,Ohc,Four,132,Mpfi,3.46,3.9,8.7,104.25615763546799,5125.369458128079,23,31,9295.0,True
2,122.0,Renault,Gas,Std,Two,Hatchback,Fwd,Front,96.1,176.8,66.6,50.5,2460,Ohc,Four,132,Mpfi,3.46,3.9,8.7,104.25615763546799,5125.369458128079,23,31,9895.0,True
3,150.0,Saab,Gas,Std,Two,Hatchback,Fwd,Front,99.1,186.6,66.5,56.1,2658,Ohc,Four,121,Mpfi,3.54,3.07,9.31,110.0,5250.0,21,28,11850.0,False
