ID_Venta,Caballos_Fuerza,Precio_Catalogo_Original,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta,Antiguedad_Vehiculo,Ingreso_Total,Categoria_Precio,ID_Pais_Origen,ID_Tipo_Carroceria,ID_Tipo_Combustible,ID_Marca,ID_Sede
18,48.0,5151.0,3403.0,6138.0,192.0,2026,0,1178496.0,Economico,3,2,1,4,5
19,70.0,6295.0,4208.0,7429.0,195.0,2024,2,1448655.0,Economico,3,2,1,4,4
20,70.0,6575.0,3723.0,7531.0,213.0,2024,2,1604103.0,Economico,3,3,1,4,1
21,68.0,5572.0,3477.0,6520.0,190.0,2024,2,1238800.0,Economico,3,2,1,5,2
22,68.0,6377.0,3816.0,7344.0,176.0,2025,1,1292544.0,Economico,3,2,1,5,6
23,103.59358288770052,7957.0,5654.0,9039.0,146.0,2024,2,1319694.0,Economico,3,2,1,5,1
24,68.0,6229.0,4012.0,6661.0,215.0,2026,0,1432115.0,Economico,3,2,1,5,4
25,68.0,6692.0,4997.0,7841.0,177.0,2026,0,1387857.0,Economico,3,3,1,5,5
26,68.0,7609.0,4792.0,8926.0,185.0,2026,0,1651310.0,Economico,3,3,1,5,2
27,102.0,8558.0,6104.0,9789.0,202.0,2025,1,1977378.0,Economico,3,3,1,5,1
28,88.0,8921.0,6331.0,10465.0,174.0,2023,3,1820910.0,Medio,3,4,1,5,6
29,145.0,12964.0,7521.0,14879.0,150.0,2025,1,2231850.0,Medio,3,2,1,5,6
30,58.0,6479.0,8545.25925925926,7004.0,206.0,2026,0,1442824.0,Economico,4,2,1,6,3
31,76.0,6855.0,4724.0,7479.0,189.0,2026,0,1413531.0,Economico,4,2,1,6,3
32,60.0,5399.0,3896.0,5843.0,198.0,2025,1,1156914.0,Economico,4,2,1,6,4
33,76.0,6529.0,4017.0,7225.0,161.0,2025,1,1163225.0,Economico,4,2,1,6,1
34,76.0,7129.0,4235.0,7527.0,200.0,2026,0,1505400.0,Economico,4,2,1,6,1
35,76.0,7295.0,5050.0,8336.0,185.0,2025,1,1542160.0,Economico,4,3,1,6,5
36,76.0,7295.0,5193.0,8028.0,160.0,2023,3,1284480.0,Economico,4,4,1,6,7
37,86.0,7895.0,4893.0,9066.0,183.0,2026,0,1659078.0,Economico,4,2,1,6,5
38,103.59358288770052,9095.0,5177.0,10076.0,141.0,2024,2,1420716.0,Medio,4,2,1,6,3
39,86.0,8845.0,6529.0,10192.0,207.0,2025,1,2109744.0,Medio,4,3,1,6,1
40,86.0,10295.0,6481.0,11336.0,150.0,2024,2,1700400.0,Medio,4,3,1,6,1
41,101.0,12945.0,8460.0,14098.0,180.0,2023,3,2537640.0,Medio,4,3,1,6,6
42,100.0,10345.0,8545.25925925926,11632.0,153.0,2024,2,1779696.0,Medio,4,3,1,6,3
43,78.0,6785.0,4649.0,7829.0,189.0,2026,0,1479681.0,Economico,4,3,1,7,2
44,90.0,11048.0,7701.0,12178.0,150.0,2024,2,1826700.0,Medio,4,2,1,7,3
45,176.0,32250.0,19086.0,38394.0,72.0,2024,2,2764368.0,Premium,5,3,1,8,2
46,176.0,35550.0,23402.0,37536.0,57.0,2024,2,2139552.0,Premium,5,3,1,8,6
47,262.0,36000.0,24810.0,40057.0,58.0,2025,1,2323306.0,Premium,5,3,1,8,4
48,68.0,5195.0,3095.0,6209.0,188.0,2026,0,1167292.0,Economico,4,2,1,9,1
49,68.0,6095.0,3566.0,6901.0,164.0,2025,1,1131764.0,Economico,4,2,1,9,6
50,68.0,6795.0,5072.0,7566.0,190.0,2025,1,1437540.0,Economico,4,2,1,9,1
51,103.59358288770052,6695.0,4374.0,7601.0,174.0,2026,0,1322574.0,Economico,4,3,1,9,5
52,68.0,7395.0,4453.0,8404.0,194.0,2025,1,1630376.0,Economico,4,3,1,9,4
53,101.0,10945.0,8201.0,12693.0,158.0,2024,2,2005494.0,Medio,4,2,1,9,4
54,103.59358288770052,11845.0,8802.0,12664.0,160.0,2024,2,2026240.0,Medio,4,2,1,9,6
55,101.0,13645.0,9028.0,14839.0,178.0,2024,2,2641342.0,Medio,4,2,1,9,4
56,135.0,15645.0,11367.0,17790.0,176.0,2026,0,3131040.0,Medio,4,2,1,9,8
57,84.0,8845.0,5199.0,10438.0,182.0,2025,1,1899716.0,Medio,4,2,1,9,4
58,84.0,8495.0,5146.0,9636.0,169.0,2026,0,1628484.0,Economico,4,3,1,9,1
59,84.0,10595.0,7311.0,11504.0,161.0,2024,2,1852144.0,Medio,4,2,1,9,1
60,84.0,10245.0,7370.0,11802.0,153.0,2025,1,1805706.0,Medio,4,3,1,9,1
61,64.0,10795.0,7786.0,12533.0,153.0,2025,1,1917549.0,Medio,4,3,2,9,1
62,84.0,11245.0,7094.0,12209.0,159.0,2024,2,1941231.0,Medio,4,2,1,9,2
63,120.0,18280.0,13300.0,20230.0,160.0,2026,0,3236800.0,Alto,4,3,1,9,3
64,72.0,18344.0,13211.0,20731.0,126.0,2025,1,2612106.0,Alto,4,3,2,9,5
65,123.0,25552.0,18835.0,28733.0,78.0,2024,2,2241174.0,Alto,2,3,2,10,6
66,123.0,28248.0,19973.0,31311.0,87.0,2026,0,2724057.0,Premium,2,4,2,10,1
67,123.0,28176.0,19267.0,30843.0,91.0,2025,1,2806713.0,Premium,2,5,2,10,4
68,123.0,31600.0,21050.0,33654.0,77.0,2025,1,2591358.0,Premium,2,3,2,10,1
69,155.0,34184.0,21346.0,36167.0,78.0,2025,1,2821026.0,Premium,2,3,1,10,4
70,155.0,35056.0,25872.0,41849.0,44.0,2025,1,1841356.0,Premium,2,1,1,10,5
71,184.0,40960.0,30504.0,48213.0,29.0,2026,0,1398177.0,Premium,2,3,1,10,5
72,184.0,45400.0,27548.0,50087.0,1.0,2023,3,50087.0,Premium,2,5,1,10,5
73,175.0,16503.0,10085.0,19697.0,160.0,2024,2,3151520.0,Medio,3,2,1,11,4
74,68.0,5389.0,3487.0,6206.0,191.0,2023,3,1185346.0,Economico,4,2,1,12,1
75,68.0,6189.0,3959.0,6946.0,191.0,2026,0,1326686.0,Economico,4,2,1,12,5
76,68.0,6669.0,4994.0,7496.0,171.0,2024,2,1281816.0,Economico,4,2,1,12,2
77,102.0,7689.0,4499.0,8170.0,187.0,2026,0,1527790.0,Economico,4,2,1,12,4
78,116.0,9959.0,5513.0,10594.0,180.0,2025,1,1906920.0,Medio,4,2,1,12,4
79,103.59358288770052,8499.0,5514.0,9692.0,156.0,2026,0,1511952.0,Economico,4,2,1,12,1
80,145.0,12629.0,7398.0,14309.0,130.0,2026,0,1860170.0,Medio,4,2,1,12,4
81,145.0,14869.0,9268.0,16087.0,152.0,2026,0,2445224.0,Medio,4,2,1,12,4
82,145.0,14489.0,10125.0,17270.0,136.0,2026,0,2348720.0,Medio,4,2,1,12,5
83,88.0,6989.0,4852.0,8158.0,184.0,2025,1,1501072.0,Economico,4,3,1,12,1
84,88.0,8189.0,8545.25925925926,8738.0,158.0,2026,0,1380604.0,Economico,4,3,1,12,5
85,116.0,9279.0,6110.0,11039.0,145.0,2024,2,1600655.0,Medio,4,3,1,12,5
86,116.0,9279.0,6048.0,11099.0,171.0,2024,2,1897929.0,Medio,4,3,1,12,1
87,69.0,5499.0,3724.0,6595.0,181.0,2026,0,1193695.0,Economico,4,3,1,13,6
88,55.0,7099.0,8545.25925925926,7513.0,151.0,2025,1,1134463.0,Economico,4,3,2,13,5
89,69.0,6649.0,4441.0,7717.0,202.0,2024,2,1558834.0,Economico,4,3,1,13,2
90,69.0,6849.0,8545.25925925926,7752.0,162.0,2025,1,1255824.0,Economico,4,3,1,13,2
91,69.0,7349.0,4757.0,8495.0,217.0,2026,0,1843415.0,Economico,4,4,1,13,4
92,69.0,7299.0,5337.0,8724.0,168.0,2025,1,1465632.0,Economico,4,3,1,13,2
93,69.0,7799.0,4967.0,8994.0,182.0,2026,0,1636908.0,Economico,4,2,1,13,4
94,69.0,7499.0,4649.0,8815.0,202.0,2026,0,1780630.0,Economico,4,3,1,13,6
95,69.0,7999.0,5431.0,9439.0,197.0,2026,0,1859483.0,Economico,4,4,1,13,1
96,69.0,8249.0,5641.0,9699.0,203.0,2025,1,1968897.0,Economico,4,5,1,13,1
97,97.0,8949.0,6469.0,9968.0,150.0,2026,0,1495200.0,Economico,4,2,1,13,1
98,97.0,9549.0,5692.0,10345.0,154.0,2026,0,1593130.0,Medio,4,3,1,13,2
99,152.0,13499.0,8772.0,14977.0,156.0,2026,0,2336412.0,Medio,4,3,1,13,6
100,152.0,14399.0,9567.0,17045.0,156.0,2023,3,2659020.0,Medio,4,4,1,13,2
101,152.0,13499.0,9499.0,14471.0,154.0,2025,1,2228534.0,Medio,4,3,1,13,2
102,160.0,17199.0,9609.0,19383.0,110.0,2024,2,2132130.0,Medio,4,2,1,13,6
103,200.0,19699.0,14753.0,21373.0,134.0,2023,3,2863982.0,Alto,4,2,1,13,6
104,160.0,18399.0,11849.0,20923.0,125.0,2025,1,2615375.0,Alto,4,2,1,13,6
105,97.0,11900.0,7210.0,14036.0,153.0,2026,0,2147508.0,Medio,6,3,1,14,6
106,95.0,13200.0,9592.0,15603.0,115.0,2026,0,1794345.0,Medio,6,3,2,14,1
107,97.0,12440.0,8702.0,13504.0,170.0,2023,3,2295680.0,Medio,6,4,1,14,3
108,95.0,13860.0,10265.0,16440.0,148.0,2026,0,2433120.0,Medio,6,4,2,14,3
109,95.0,15580.0,9600.0,17742.0,168.0,2025,1,2980656.0,Medio,6,3,1,14,6
110,95.0,16900.0,11163.0,18633.0,136.0,2026,0,2534088.0,Medio,6,3,2,14,9
111,95.0,16695.0,11093.0,19303.0,143.0,2026,0,2760329.0,Medio,6,4,1,14,3
112,95.0,17075.0,12739.0,19162.0,148.0,2025,1,2835976.0,Medio,6,4,2,14,6
113,97.0,16630.0,9397.0,18404.0,112.0,2026,0,2061248.0,Medio,6,3,1,14,3
114,95.0,17950.0,10970.0,20746.0,168.0,2026,0,3485328.0,Alto,6,3,2,14,2
115,142.0,18150.0,10676.0,19735.0,126.0,2024,2,2486610.0,Medio,6,3,1,14,4
116,103.59358288770052,5572.0,3364.0,6127.0,195.0,2023,3,1194765.0,Economico,3,2,1,15,4
117,102.0,7957.0,5149.0,8873.0,186.0,2026,0,1650378.0,Economico,3,2,1,15,6
118,68.0,6229.0,3890.0,6777.0,173.0,2024,2,1172421.0,Economico,3,2,1,15,1
119,68.0,6692.0,4209.0,7433.0,210.0,2026,0,1560930.0,Economico,3,3,1,15,6
120,68.0,7609.0,8545.25925925926,8642.0,182.0,2026,0,1572844.0,Economico,3,3,1,15,1
121,88.0,8921.0,6566.0,10359.0,168.0,2026,0,1740312.0,Medio,3,4,1,15,4
122,145.0,12764.0,7200.0,14871.0,155.0,2024,2,2305005.0,Medio,3,2,1,15,6
123,103.59358288770052,22018.0,13030.0,25836.0,120.0,2026,0,3100320.0,Alto,2,2,1,16,5
124,207.0,32528.0,22257.0,37786.0,60.0,2026,0,2267160.0,Premium,2,5,1,16,2
125,207.0,34028.0,21156.0,39206.0,67.0,2023,3,2626802.0,Premium,2,5,1,16,3
126,207.0,37028.0,22248.0,40199.0,25.0,2026,0,1004975.0,Premium,2,1,1,16,1
127,103.59358288770052,9295.0,5661.0,10318.0,160.0,2026,0,1650880.0,Medio,6,4,1,17,5
128,103.59358288770052,9895.0,6081.0,11099.0,136.0,2025,1,1509464.0,Medio,6,2,1,17,9
129,110.0,11850.0,8529.0,12590.0,192.0,2024,2,2417280.0,Medio,7,2,1,18,3
130,110.0,12170.0,7026.0,13743.0,187.0,2025,1,2569941.0,Medio,7,3,1,18,6
131,110.0,15040.0,10404.0,16776.0,154.0,2025,1,2583504.0,Medio,7,2,1,18,3
132,110.0,15510.0,10245.0,18152.0,124.0,2026,0,2250848.0,Medio,7,3,1,18,2
133,160.0,18150.0,11059.0,21720.0,161.0,2025,1,3496920.0,Alto,7,2,1,18,5
134,160.0,18620.0,11804.0,21104.0,118.0,2025,1,2490272.0,Alto,7,3,1,18,3
135,69.0,5118.0,3077.0,5622.0,187.0,2024,2,1051314.0,Economico,4,2,1,19,6
136,73.0,7053.0,4742.0,7452.0,185.0,2025,1,1378620.0,Economico,4,2,1,19,2
137,73.0,7603.0,8545.25925925926,9038.0,183.0,2025,1,1653954.0,Economico,4,2,1,19,4
138,82.0,7126.0,3927.0,8465.0,188.0,2023,3,1591420.0,Economico,4,3,1,19,5
139,82.0,7775.0,5253.0,8459.0,189.0,2026,0,1598751.0,Economico,4,3,1,19,3
140,94.0,9960.0,5865.0,11497.0,164.0,2026,0,1885508.0,Medio,4,3,1,19,6
141,82.0,9233.0,5209.0,9799.0,183.0,2025,1,1793217.0,Economico,4,3,1,19,4
142,111.0,11259.0,7086.0,12103.0,161.0,2026,0,1948583.0,Medio,4,3,1,19,4
143,82.0,7463.0,4180.0,8079.0,189.0,2025,1,1526931.0,Economico,4,4,1,19,1
144,94.0,10198.0,7417.0,11158.0,175.0,2026,0,1952650.0,Medio,4,4,1,19,2
145,82.0,8013.0,4451.0,9611.0,185.0,2025,1,1778035.0,Economico,4,4,1,19,3
146,111.0,11694.0,7786.0,13501.0,168.0,2026,0,2268168.0,Medio,4,4,1,19,6
147,62.0,5348.0,3410.0,5924.0,182.0,2025,1,1078168.0,Economico,4,2,1,20,1
148,62.0,6338.0,4338.0,7356.0,190.0,2025,1,1397640.0,Economico,4,2,1,20,2
149,62.0,6488.0,3994.0,7703.0,191.0,2026,0,1471273.0,Economico,4,2,1,20,1
150,62.0,6918.0,4019.0,8259.0,160.0,2023,3,1321440.0,Economico,4,4,1,20,7
151,62.0,7898.0,5895.0,8361.0,175.0,2023,3,1463175.0,Economico,4,4,1,20,2
152,62.0,8778.0,6301.0,9736.0,182.0,2024,2,1771952.0,Economico,4,4,1,20,2
153,70.0,6938.0,5010.0,7396.0,208.0,2024,2,1538368.0,Economico,4,3,1,20,3
154,70.0,7198.0,4319.0,7920.0,193.0,2026,0,1528560.0,Economico,4,2,1,20,2
155,56.0,7898.0,4405.0,8494.0,205.0,2024,2,1741270.0,Economico,4,3,2,20,1
156,56.0,7788.0,4756.0,8933.0,171.0,2025,1,1527543.0,Economico,4,2,2,20,2
157,70.0,7738.0,5087.0,8576.0,182.0,2025,1,1560832.0,Economico,4,3,1,20,3
158,70.0,8358.0,5143.0,9063.0,188.0,2025,1,1703844.0,Economico,4,2,1,20,3
159,70.0,9258.0,6625.0,10090.0,137.0,2026,0,1382330.0,Medio,4,3,1,20,5
160,70.0,8058.0,4870.0,8896.0,199.0,2025,1,1770304.0,Economico,4,3,1,20,1
161,70.0,8238.0,6121.0,8971.0,149.0,2026,0,1336679.0,Economico,4,2,1,20,4
162,112.0,9298.0,5964.0,10395.0,186.0,2025,1,1933470.0,Medio,4,3,1,20,4
163,112.0,9538.0,8545.25925925926,10061.0,182.0,2024,2,1831102.0,Medio,4,2,1,20,8
164,116.0,8449.0,4975.0,9226.0,140.0,2026,0,1291640.0,Economico,4,5,1,20,5
165,116.0,9639.0,6094.0,10715.0,135.0,2024,2,1446525.0,Medio,4,5,1,20,6
166,103.59358288770052,9989.0,6891.0,11392.0,188.0,2023,3,2141696.0,Medio,4,2,1,20,2
167,116.0,11199.0,6469.0,12214.0,182.0,2026,0,2222948.0,Medio,4,5,1,20,5
168,116.0,11549.0,6659.0,12357.0,150.0,2023,3,1853550.0,Medio,4,2,1,20,1
169,116.0,17669.0,13144.0,18754.0,124.0,2026,0,2325496.0,Medio,4,1,1,20,1
170,103.59358288770052,8948.0,6200.0,10658.0,177.0,2025,1,1886466.0,Medio,4,3,1,20,1
171,73.0,10698.0,5972.0,11901.0,164.0,2026,0,1951764.0,Medio,4,3,2,20,1
172,92.0,9988.0,6290.0,11358.0,183.0,2026,0,2078514.0,Medio,4,2,1,20,1
173,92.0,10898.0,6939.0,12945.0,168.0,2025,1,2174760.0,Medio,4,3,1,20,7
174,92.0,11248.0,7860.0,11950.0,188.0,2026,0,2246600.0,Medio,4,2,1,20,5
175,103.59358288770052,16558.0,9938.0,19563.0,148.0,2024,2,2895324.0,Medio,4,2,1,20,3
176,161.0,15998.0,9389.0,18122.0,150.0,2026,0,2718300.0,Medio,4,2,1,20,4
177,156.0,15690.0,8883.0,16862.0,139.0,2023,3,2343818.0,Medio,4,3,1,20,1
178,156.0,15750.0,10012.0,17509.0,136.0,2025,1,2381224.0,Medio,4,4,1,20,6
179,52.0,7775.0,5347.0,9071.0,175.0,2024,2,1587425.0,Economico,2,3,2,21,7
180,85.0,7975.0,4479.0,8948.0,204.0,2026,0,1825392.0,Economico,2,3,1,21,6
181,52.0,7995.0,5861.0,9576.0,168.0,2024,2,1608768.0,Economico,2,3,2,21,6
182,85.0,8195.0,5232.0,9068.0,180.0,2026,0,1632240.0,Economico,2,3,1,21,6
183,85.0,8495.0,5080.0,9875.0,139.0,2026,0,1372625.0,Economico,2,3,1,21,3
184,103.59358288770052,9495.0,5401.0,10529.0,180.0,2026,0,1895220.0,Medio,2,3,1,21,5
185,100.0,9995.0,5863.0,11738.0,199.0,2024,2,2335862.0,Medio,2,3,1,21,6
186,90.0,11595.0,8545.0,13165.0,145.0,2026,0,1908925.0,Medio,2,1,1,21,1
187,90.0,9980.0,8545.25925925926,10574.0,218.0,2025,1,2305132.0,Medio,2,2,1,21,2
188,110.0,13295.0,8686.0,14033.0,159.0,2024,2,2231247.0,Medio,2,3,1,21,6
189,68.0,13845.0,9434.0,14815.0,114.0,2024,2,1688910.0,Medio,2,3,2,21,3
190,88.0,12290.0,7830.0,12930.0,155.0,2025,1,2004150.0,Medio,2,4,1,21,5
191,114.0,12940.0,9006.0,13733.0,177.0,2026,0,2430741.0,Medio,7,3,1,22,3
192,114.0,13415.0,7506.0,15478.0,180.0,2025,1,2786040.0,Medio,7,4,1,22,6
193,114.0,15985.0,10601.0,18065.0,150.0,2025,1,2709750.0,Medio,7,3,1,22,5
194,114.0,16515.0,9607.0,19198.0,159.0,2023,3,3052482.0,Medio,7,4,1,22,2
195,162.0,18420.0,8545.25925925926,21864.0,107.0,2023,3,2339448.0,Alto,7,3,1,22,6
196,162.0,18950.0,11718.0,21561.0,115.0,2023,3,2479515.0,Alto,7,4,1,22,3
197,114.0,16845.0,9574.0,19522.0,109.0,2026,0,2127898.0,Medio,7,3,1,22,4
198,160.0,19045.0,10833.0,22160.0,114.0,2023,3,2526240.0,Alto,7,3,1,22,1
199,134.0,21485.0,13155.0,23777.0,128.0,2023,3,3043456.0,Alto,7,3,1,22,3
200,106.0,22470.0,16760.0,24406.0,117.0,2024,2,2855502.0,Alto,7,3,2,22,5
201,114.0,22625.0,13237.0,24452.0,127.0,2026,0,3105404.0,Alto,7,3,1,22,6
